date,first_male,first_female,finishers,helpers,last_updated
2022-04-16,Lukas GÄRTNER,Caroline WOOLNER,33,8,2026-04-11 20:55:02.418300
2022-04-23,Stefan MAYR,Natalie THOMPSON,27,7,2026-04-11 20:55:02.418300
2022-04-30,Andrew STALLEY,Sigrid LINDINGER-PESENDORFER,18,5,2026-04-11 20:55:02.418300
2022-05-07,Stefan MAYR,Eva MÜHL,18,7,2026-04-11 20:55:02.418300
2022-05-14,Marc WURZINGER,Eva MÜHL,26,8,2026-04-11 20:55:02.418300
2022-05-21,Andreas KONRAD,Margot WURZINGER,26,10,2026-04-11 20:55:02.418300
2022-05-28,Samuel A MANSFIELD,Margot WURZINGER,12,3,2026-04-11 20:55:02.418300
2022-06-04,Kevin RATZ,Johanna HOFEGGER,27,7,2026-04-11 20:55:02.418300
2022-06-11,Kevin RATZ,Bettina PICHLER,23,9,2026-04-11 20:55:02.418300
2022-06-18,Kevin RATZ,Johanna HOFEGGER,17,4,2026-04-11 20:55:02.418300
2022-06-25,Will BROWN,Johanna HOFEGGER,23,5,2026-04-11 20:55:02.418300
2022-07-02,Florian KUBOUSCHEK,Margot WURZINGER,28,11,2026-04-11 20:55:02.418300
2022-07-09,Elias HOFER,Maria GEISSLER,10,7,2026-04-11 20:55:02.418300
2022-07-16,Andreas KONRAD,Anna PEHERSTORFER,28,9,2026-04-11 20:55:02.418300
2022-07-23,Will BROWN,Mia TURNLEY,20,7,2026-04-11 20:55:02.418300
2022-07-30,Will BROWN,Sigrid LINDINGER-PESENDORFER,13,5,2026-04-11 20:55:02.418300
2022-08-06,Euan MARSHALL,Selena DERVISIC,15,5,2026-04-11 20:55:02.418300
2022-08-13,Florian KUBOUSCHEK,Karolina STUDENCKA,20,6,2026-04-11 20:55:02.418300
2022-08-20,Steven WIGGLESWORTH,Mia TURNLEY,19,6,2026-04-11 20:55:02.418300
2022-08-27,James RAVENSCROFT,Mia TURNLEY,15,6,2026-04-11 20:55:02.418300
2022-09-03,Will BROWN,Veronika FEHRER,17,4,2026-04-11 20:55:02.418300
2022-09-10,Nathan AICHINGER,Eva MÜHL,20,9,2026-04-11 20:55:02.418300
2022-09-17,Will BROWN,Bettina PICHLER,22,7,2026-04-11 20:55:02.418300
2022-09-24,Nathan AICHINGER,Petra HABACHER,19,6,2026-04-11 20:55:02.418300
2022-10-01,Charlie HARDING,Anna LIPP,35,6,2026-04-11 20:55:02.418300
2022-10-08,Andreas KONRAD,Eva MÜHL,17,8,2026-04-11 20:55:02.418300
2022-10-15,Martin HANICINEC,Mia TURNLEY,11,5,2026-04-11 20:55:02.418300
2022-10-22,Roland EDER,Sophie EVANS,11,7,2026-04-11 20:55:02.418300
2022-10-29,Julius GRUBER,Nicola SHEATHER,16,6,2026-04-11 20:55:02.418300
2022-11-05,James RAVENSCROFT,Eva MÜHL,17,5,2026-04-11 20:55:02.418300
2022-11-12,Marc WURZINGER,Rosanna BRADY,14,3,2026-04-11 20:55:02.418300
2022-11-19,Will BROWN,Jolanda KOLLER,8,7,2026-04-11 20:55:02.418300
2022-11-26,Will BROWN,Eva MÜHL,17,5,2026-04-11 20:55:02.418300
2022-12-03,Will BROWN,Bettina PICHLER,14,5,2026-04-11 20:55:02.418300
2022-12-10,Florian KUBOUSCHEK,Manuela SCHIEK,9,6,2026-04-11 20:55:02.418300
2022-12-17,Harald FENZL,Miroslava BUKOWIECKI,16,6,2026-04-11 20:55:02.418300
2022-12-24,Will BROWN,Margot WURZINGER,9,5,2026-04-11 20:55:02.418300
2022-12-31,James RAVENSCROFT,Birgit BRUNNER,10,6,2026-04-11 20:55:02.418300
2023-01-07,Rick RABISER,Eva MÜHL,19,7,2026-04-11 20:55:02.418300
2023-01-14,Will BROWN,Vesna KOLIC,18,5,2026-04-11 20:55:02.418300
2023-01-21,Harald FENZL,Miroslava BUKOWIECKI,18,4,2026-04-11 20:55:02.418300
2023-01-28,Harald FENZL,Miroslava BUKOWIECKI,23,6,2026-04-11 20:55:02.418300
2023-02-04,Grant HOPKINS,Miroslava BUKOWIECKI,32,6,2026-04-11 20:55:02.418300
2023-02-11,Ernest KRAMBERGER-KAPLAN,Miroslava BUKOWIECKI,27,6,2026-04-11 20:55:02.418300
2023-02-18,Harald FENZL,Miroslava BUKOWIECKI,15,7,2026-04-11 20:55:02.418300
2023-02-25,Shogo NISHIMURA,Mia TURNLEY,19,5,2026-04-11 20:55:02.418300
2023-03-04,Elias HOFER,Eva MÜHL,21,5,2026-04-11 20:55:02.418300
2023-03-11,Adam LISCAK,Miroslava BUKOWIECKI,22,7,2026-04-11 20:55:02.418300
2023-03-18,Shogo NISHIMURA,Beate STRECKER,35,7,2026-04-11 20:55:02.418300
2023-03-25,Adam LISCAK,Beate STRECKER,30,6,2026-04-11 20:55:02.418300
2023-04-01,Florian KUBOUSCHEK,Mia TURNLEY,16,6,2026-04-11 20:55:02.418300
2023-04-08,Shogo NISHIMURA,Vivian HIRSCH,20,6,2026-04-11 20:55:02.418300
2023-04-15,Harald FENZL,Miroslava BUKOWIECKI,27,5,2026-04-11 20:55:02.418300
2023-04-22,Tom EIDINGER,Beate STRECKER,16,7,2026-04-11 20:55:02.418300
2023-04-29,Markus RANSMAYR,Anna LIPP,15,6,2026-04-11 20:55:02.418300
2023-05-06,Shogo NISHIMURA,Miroslava BUKOWIECKI,23,7,2026-04-11 20:55:02.418300
2023-05-13,Shogo NISHIMURA,Bettina PICHLER,20,7,2026-04-11 20:55:02.418300
2023-05-20,Christoph STINGLMEIER,Margot WURZINGER,20,5,2026-04-11 20:55:02.418300
2023-05-27,Florian KUBOUSCHEK,Margot WURZINGER,15,4,2026-04-11 20:55:02.418300
2023-06-03,Adam LISCAK,Miroslava BUKOWIECKI,27,8,2026-04-11 20:55:02.418300
2023-06-10,Harald FENZL,Miroslava BUKOWIECKI,15,4,2026-04-11 20:55:02.418300
2023-06-17,Adam LISCAK,Anita LENNEIS,26,6,2026-04-11 20:55:02.418300
2023-06-24,Tom EIDINGER,Margot WURZINGER,24,6,2026-04-11 20:55:02.418300
2023-07-01,Christoph STINGLMEIER,Margot WURZINGER,19,5,2026-04-11 20:55:02.418300
2023-07-08,Shogo NISHIMURA,Margot WURZINGER,23,7,2026-04-11 20:55:02.418300
2023-07-15,Will BROWN,Marijke JENSEN,23,5,2026-04-11 20:55:02.418300
2023-07-22,Will BROWN,Margot WURZINGER,20,5,2026-04-11 20:55:02.418300
2023-07-29,Elias HOFER,Margot WURZINGER,16,4,2026-04-11 20:55:02.418300
2023-08-05,Thomas CORNTHWAITE,Margot WURZINGER,32,5,2026-04-11 20:55:02.418300
2023-08-12,Rick RABISER,Margot WURZINGER,24,5,2026-04-11 20:55:02.418300
2023-08-19,Manfred KARNER,Margot WURZINGER,28,5,2026-04-11 20:55:02.418300
2023-08-26,Lukas GUPFINGER,Margot WURZINGER,19,3,2026-04-11 20:55:02.418300
2023-09-02,Christoph MITASCH,Margot WURZINGER,19,5,2026-04-11 20:55:02.418300
2023-09-09,Shogo NISHIMURA,Miroslava BUKOWIECKI,35,5,2026-04-11 20:55:02.418300
2023-09-16,Florian KUBOUSCHEK,Margot WURZINGER,31,6,2026-04-11 20:55:02.418300
2023-09-23,Harald FENZL,Margot WURZINGER,18,3,2026-04-11 20:55:02.418300
2023-09-30,Christoph MITASCH,Margot WURZINGER,35,7,2026-04-11 20:55:02.418300
2023-10-07,Mateusz ORCZYKOWSKI,Margot WURZINGER,19,4,2026-04-11 20:55:02.418300
2023-10-14,Will BROWN,Anna LIPP,27,7,2026-04-11 20:55:02.418300
2023-10-21,Philipp JANSCH,Anna LIPP,30,5,2026-04-11 20:55:02.418300
2023-10-28,Shogo NISHIMURA,Beate STRECKER,35,6,2026-04-11 20:55:02.418300
2023-11-04,Will BROWN,Beate STRECKER,25,7,2026-04-11 20:55:02.418300
2023-11-11,Rick RABISER,Beate STRECKER,23,6,2026-04-11 20:55:02.418300
2023-11-18,Filip REISKUP,Miroslava BUKOWIECKI,26,4,2026-04-11 20:55:02.418300
2023-11-25,Will BROWN,Anna LIPP,30,7,2026-04-11 20:55:02.418300
2023-12-02,Elias HOFER,Miroslava BUKOWIECKI,12,6,2026-04-11 20:55:02.418300
2023-12-09,James RAVENSCROFT,Veronika JIRKOVSKA,17,6,2026-04-11 20:55:02.418300
2023-12-16,Tobias PIEBER,Anna LIPP,20,7,2026-04-11 20:55:02.418300
2023-12-23,Will BROWN,Anna LIPP,22,5,2026-04-11 20:55:02.418300
2023-12-30,Will BROWN,Helen TALLGREN,31,6,2026-04-11 20:55:02.418300
2024-01-06,Will BROWN,Anna LIPP,27,4,2026-04-11 20:55:02.418300
2024-01-13,Will BROWN,Vivian HIRSCH,26,5,2026-04-11 20:55:02.418300
2024-01-20,Tom EIDINGER,Beate STRECKER,22,4,2026-04-11 20:55:02.418300
2024-01-27,Stefan MAYR,Anna LIPP,28,5,2026-04-11 20:55:02.418300
2024-02-03,Alan RYAN,Miroslava BUKOWIECKI,32,5,2026-04-11 20:55:02.418300
2024-02-10,Will BROWN,Beate STRECKER,28,6,2026-04-11 20:55:02.418300
2024-02-17,Alan RYAN,Anna LIPP,20,5,2026-04-11 20:55:02.418300
2024-02-24,Stefan MAYR,Miroslava BUKOWIECKI,32,5,2026-04-11 20:55:02.418300
2024-03-02,Klaus HEINISCH,Anna LIPP,33,4,2026-04-11 20:55:02.418300
2024-03-09,Klaus DERNDORFER,Anna LIPP,100,8,2026-04-11 20:55:02.418300
2024-03-16,Ernst BLECHA,Anna LIPP,30,5,2026-04-11 20:55:02.418300
2024-03-23,Elias HOFER,Anna LIPP,32,5,2026-04-11 20:55:02.418300
2024-03-30,Will BROWN,Anna LIPP,36,6,2026-04-11 20:55:02.418300
2024-04-06,Alan RYAN,Anna LIPP,42,5,2026-04-11 20:55:02.418300
2024-04-13,Christoph MITASCH,Anna LIPP,38,7,2026-04-11 20:55:02.418300
2024-04-20,Ronald PLANK,Margot WURZINGER,29,8,2026-04-11 20:55:02.418300
2024-04-27,Ernest KRAMBERGER-KAPLAN,Anna LIPP,38,8,2026-04-11 20:55:02.418300
2024-05-04,James RAVENSCROFT,Anna LIPP,33,5,2026-04-11 20:55:02.418300
2024-05-11,Ronald PLANK,Margot WURZINGER,32,9,2026-04-11 20:55:02.418300
2024-05-18,Mateusz ORCZYKOWSKI,Alison CROOKS,31,6,2026-04-11 20:55:02.418300
2024-05-25,Marc WURZINGER,Margot WURZINGER,24,7,2026-04-11 20:55:02.418300
2024-06-01,Markus RANSMAYR,Miroslava BUKOWIECKI,24,7,2026-04-11 20:55:02.418300
2024-06-08,Andreas AISTLEITNER,Miroslava BUKOWIECKI,46,8,2026-04-11 20:55:02.418300
2024-06-15,Marc WURZINGER,Margot WURZINGER,28,6,2026-04-11 20:55:02.418300
2024-06-22,Marc WURZINGER,Silke PLONER,30,5,2026-04-11 20:55:02.418300
2024-06-29,Will BROWN,Anita LENNEIS,25,5,2026-04-11 20:55:02.418300
2024-07-06,Marc WURZINGER,Margot WURZINGER,32,9,2026-04-11 20:55:02.418300
2024-07-13,Rick RABISER,Alina KRALIK,29,6,2026-04-11 20:55:02.418300
2024-07-20,Mateusz ORCZYKOWSKI,Christina KHINAST,27,5,2026-04-11 20:55:02.418300
2024-07-27,Paul STEININGER,Christina KHINAST,23,5,2026-04-11 20:55:02.418300
2024-08-03,Lukas GUPFINGER,Margot WURZINGER,26,7,2026-04-11 20:55:02.418300
2024-08-10,Paul STEININGER,Susanne MÜLLER-WIPPERFÜRTH,24,5,2026-04-11 20:55:02.418300
2024-08-17,Artur WROŃSKI,Susanne MÜLLER-WIPPERFÜRTH,31,9,2026-04-11 20:55:02.418300
2024-08-24,Alois RADLMAYR,Susanne MÜLLER-WIPPERFÜRTH,29,4,2026-04-11 20:55:02.418300
2024-08-31,Paul STEININGER,Eva ORTNER,33,6,2026-04-11 20:55:02.418300
2024-09-07,Lukas GUPFINGER,Miriam STONEY,40,5,2026-04-11 20:55:02.418300
2024-09-14,Will BROWN,Emilia S,31,5,2026-04-11 20:55:02.418300
2024-09-21,Lukas GUPFINGER,Susanne MÜLLER-WIPPERFÜRTH,26,7,2026-04-11 20:55:02.418300
2024-09-28,Sean BONVARLET,Susanne MÜLLER-WIPPERFÜRTH,27,8,2026-04-11 20:55:02.418300
2024-10-05,Martin VAUPEL,Camilla WEST,19,8,2026-04-11 20:55:02.418300
2024-10-12,Ollie BURLEY,Christine KATZINGER,24,6,2026-04-11 20:55:02.418300
