date,first_male,first_female,finishers,helpers,last_updated
2010-08-07,Adam J THOMAS,Tracey CURL,117,6,2026-04-01 08:10:30.699583
2010-08-14,Adam J THOMAS,Alexandra SMITH,105,7,2026-04-01 08:10:30.699583
2010-08-21,Neil DAVISON,Holly COOPER,122,8,2026-04-01 08:10:30.699583
2010-08-28,Daniel MIDDLETON,Anna HOOGKAMER,125,7,2026-04-01 08:10:30.699583
2010-09-04,James SENIOR,Alexandra SMITH,153,9,2026-04-01 08:10:30.699583
2010-09-11,Neil DAVISON,Cat CUMMINGS,145,10,2026-04-01 08:10:30.699583
2010-09-18,Daniel MIDDLETON,Aimee BILLINGTON,183,11,2026-04-01 08:10:30.699583
2010-09-25,Daniel MIDDLETON,Alexandra SMITH,198,10,2026-04-01 08:10:30.699583
2010-10-02,Tony ROBINSON,Sue RUST,178,12,2026-04-01 08:10:30.699583
2010-10-09,Daniel MIDDLETON,Alexandra SMITH,182,12,2026-04-01 08:10:30.699583
2010-10-16,Nick EARL,Emily HOOGKAMER,196,11,2026-04-01 08:10:30.699583
2010-10-23,Daniel MIDDLETON,Anna HOOGKAMER,175,10,2026-04-01 08:10:30.699583
2010-10-30,Nick EARL,Jane CLARKE,222,8,2026-04-01 08:10:30.699583
2010-11-06,Matt ELLIS,Sue RUST,214,13,2026-04-01 08:10:30.699583
2010-11-13,Nick EARL,Alexandra SMITH,219,12,2026-04-01 08:10:30.699583
2010-11-20,Daniel MIDDLETON,Alexandra SMITH,173,10,2026-04-01 08:10:30.699583
2010-12-25,Ben F RUSSELL,Alexandra SMITH,54,8,2026-04-01 08:10:30.699583
2011-01-01,Kevin John MURPHY,Tracey CURL,62,9,2026-04-01 08:10:30.699583
2011-01-08,Jackson WILLIAMS,Carrie GOUCHER,137,10,2026-04-01 08:10:30.699583
2011-01-15,Nick EARL,Alexandra SMITH,205,11,2026-04-01 08:10:30.699583
2011-01-22,Joshua ENTWISTLE,Alexandra SMITH,188,10,2026-04-01 08:10:30.699583
2011-01-29,Radek BOHM,Sophie ALDEN,170,11,2026-04-01 08:10:30.699583
2011-02-05,Damian Gordon ROGERS,Alexandra SMITH,184,9,2026-04-01 08:10:30.699583
2011-02-12,Nick EARL,Anna HOOGKAMER,196,10,2026-04-01 08:10:30.699583
2011-02-19,Tim TOPPER,Alexandra SMITH,188,10,2026-04-01 08:10:30.699583
2011-02-26,Radek BOHM,Alexandra SMITH,182,9,2026-04-01 08:10:30.699583
2011-03-05,Joshua ENTWISTLE,Jane CLARKE,211,10,2026-04-01 08:10:30.699583
2011-03-12,Damian Gordon ROGERS,Carly JERMY,167,13,2026-04-01 08:10:30.699583
2011-03-19,Nick EARL,Alexandra SMITH,225,9,2026-04-01 08:10:30.699583
2011-03-26,Martainn RAMSAY,Becky SCHOFIELD,215,11,2026-04-01 08:10:30.699583
2011-04-02,Martainn RAMSAY,Alexandra SMITH,206,9,2026-04-01 08:10:30.699583
2011-04-09,Radek BOHM,Alexandra SMITH,205,11,2026-04-01 08:10:30.699583
2011-04-16,Nick EARL,Alexandra SMITH,195,8,2026-04-01 08:10:30.699583
2011-04-23,Dominic William BLAKE,Sophie ROCK,202,12,2026-04-01 08:10:30.699583
2011-04-30,Simon MILLETT,Amy BECK,199,11,2026-04-01 08:10:30.699583
2011-05-07,Matt ELLIS,Alexandra SMITH,240,8,2026-04-01 08:10:30.699583
2011-05-14,Damian Gordon ROGERS,Jane CLARKE,220,8,2026-04-01 08:10:30.699583
2011-05-21,Ryan PARKER,Danielle NIMMOCK,250,11,2026-04-01 08:10:30.699583
2011-05-28,Daniel MIDDLETON,Nicky ALFORD,196,10,2026-04-01 08:10:30.699583
2011-06-04,Nick EARL,Ruth ROSS,268,10,2026-04-01 08:10:30.699583
2011-06-11,James SENIOR,Eleanor MATTHEWS,245,12,2026-04-01 08:10:30.699583
2011-06-18,Alex DUNBAR,Alexandra SMITH,220,10,2026-04-01 08:10:30.699583
2011-06-25,Daniel MIDDLETON,Anna HOOGKAMER,171,10,2026-04-01 08:10:30.699583
2011-07-02,Stephen GIBBS,Ruth SENIOR,218,9,2026-04-01 08:10:30.699583
2011-07-09,Dominic William BLAKE,Rebecca Kate FAIRCLOTH,244,9,2026-04-01 08:10:30.699583
2011-07-16,James PRESTON,Alexandra SMITH,172,9,2026-04-01 08:10:30.699583
2011-07-23,Rick WARD,Holly COOPER,194,11,2026-04-01 08:10:30.699583
2011-07-30,Daniel MIDDLETON,Eleanor MATTHEWS,189,9,2026-04-01 08:10:30.699583
2011-08-06,Rick WARD,Ruth ROSS,254,12,2026-04-01 08:10:30.699583
2011-08-13,Stu HUNTINGTON,Kelly GRANT,218,9,2026-04-01 08:10:30.699583
2011-08-20,James PRESTON,Alice AMBROSE,278,10,2026-04-01 08:10:30.699583
2011-08-27,Ben STRATTON,Holly COOPER,265,10,2026-04-01 08:10:30.699583
2011-09-03,Nick EARL,Becky SCHOFIELD,280,11,2026-04-01 08:10:30.699583
2011-09-10,James PRESTON,Alexandra SMITH,256,15,2026-04-01 08:10:30.699583
2011-09-17,James ASHTON,Amy BECK,232,11,2026-04-01 08:10:30.699583
2011-09-24,Ian GALT,Jo GODWIN,272,11,2026-04-01 08:10:30.699583
2011-10-01,Matt ELLIS,Becky SCHOFIELD,278,10,2026-04-01 08:10:30.699583
2011-10-08,Ryan PARKER,Amy BECK,235,10,2026-04-01 08:10:30.699583
2011-10-15,Martainn RAMSAY,Laura Katy ODELL,273,9,2026-04-01 08:10:30.699583
2011-10-22,Nick EARL,Carla BROWN,210,12,2026-04-01 08:10:30.699583
2011-10-29,Daniel MIDDLETON,Alexandra SMITH,263,9,2026-04-01 08:10:30.699583
2011-11-05,Daniel MIDDLETON,Alexandra SMITH,237,13,2026-04-01 08:10:30.699583
2011-11-12,Scott GREEVES,Rowena LEARY,240,12,2026-04-01 08:10:30.699583
2011-11-19,Nick EARL,Rowena LEARY,247,12,2026-04-01 08:10:30.699583
2011-11-26,James PRESTON,Amy BALAAM,213,13,2026-04-01 08:10:30.699583
2011-12-03,James BEREHOWSKYJ,Rowena LEARY,206,15,2026-04-01 08:10:30.699583
2011-12-10,James PRESTON,Rowena LEARY,184,11,2026-04-01 08:10:30.699583
2011-12-17,Daniel MIDDLETON,Rowena LEARY,129,13,2026-04-01 08:10:30.699583
2011-12-24,Nick EARL,Ruth SENIOR,335,14,2026-04-01 08:10:30.699583
2011-12-31,Nick EARL,Becky SCHOFIELD,242,13,2026-04-01 08:10:30.699583
2012-01-07,James SENIOR,Alexandra SMITH,318,17,2026-04-01 08:10:30.699583
2012-01-14,James PRESTON,Becky SCHOFIELD,336,16,2026-04-01 08:10:30.699583
2012-01-21,Nick EARL,Alexandra SMITH,329,14,2026-04-01 08:10:30.699583
2012-01-28,Martainn RAMSAY,Eve DEWSNAP,315,18,2026-04-01 08:10:30.699583
2012-02-04,Daniel MIDDLETON,Ruth ROSS,252,17,2026-04-01 08:10:30.699583
2012-02-11,Daniel MIDDLETON,Rowena LEARY,184,15,2026-04-01 08:10:30.699583
2012-02-18,Nick EARL,Eleanor MATTHEWS,286,14,2026-04-01 08:10:30.699583
2012-02-25,Joseph HAWES,Becky SCHOFIELD,296,16,2026-04-01 08:10:30.699583
2012-03-03,James PRESTON,Clare ELMS,310,13,2026-04-01 08:10:30.699583
2012-03-10,Joseph HAWES,Becky SCHOFIELD,298,16,2026-04-01 08:10:30.699583
2012-03-17,James PRESTON,Eleanor MATTHEWS,321,16,2026-04-01 08:10:30.699583
2012-03-24,Dominic William BLAKE,Kate SCOTTER,294,14,2026-04-01 08:10:30.699583
2012-03-31,Joseph HAWES,Alexandra SMITH,275,15,2026-04-01 08:10:30.699583
2012-04-07,Joseph HAWES,Africa MASON,287,13,2026-04-01 08:10:30.699583
2012-04-14,Lawrence Edward WADE,Eleanor MATTHEWS,363,14,2026-04-01 08:10:30.699583
2012-04-21,Ben F RUSSELL,Rowena LEARY,321,17,2026-04-01 08:10:30.699583
2012-04-28,Alec BEANEY,Ruth ROSS,358,16,2026-04-01 08:10:30.699583
