date,first_male,first_female,finishers,helpers,last_updated
2021-08-14,Charlie HARDING,Julia BAXTER,30,9,2026-04-11 20:52:06.901229
2021-08-21,Wout VAN DIJK,Barbara FARFELEDER,19,10,2026-04-11 20:52:06.901229
2021-08-28,Martin VAUPEL,Sarah MAISEY,16,8,2026-04-11 20:52:06.901229
2021-09-04,Markus ZAUNER,Sarah MAISEY,14,5,2026-04-11 20:52:06.901229
2021-09-11,Jon PARNELL,Fiona MAIERHOFER,32,6,2026-04-11 20:52:06.901229
2021-09-18,Emil HASENKNOPF,Jennifer MCBAIN,39,11,2026-04-11 20:52:06.901229
2021-09-25,Stephen MCALEER,Aedin KENNEDY,20,7,2026-04-11 20:52:06.901229
2021-10-02,Florian NEUSCHWANDER,Kathryn BERRY,22,8,2026-04-11 20:52:06.901229
2021-10-09,Dominik GUTERMUTH-KLEIN,Aedin KENNEDY,17,10,2026-04-11 20:52:06.901229
2021-10-16,Stefan HASENKNOPF,Maria LEONARD,12,9,2026-04-11 20:52:06.901229
2021-10-23,David DRURY,Maja HORNIG,20,8,2026-04-11 20:52:06.901229
2021-10-30,Stefan KNAPP,Nadine KERL,11,7,2026-04-11 20:52:06.901229
2021-11-06,Stefan KNAPP,Barbara FARFELEDER,10,7,2026-04-11 20:52:06.901229
2021-11-13,Richard BRIERLEY,Gudrun BARTH,18,7,2026-04-11 20:52:06.901229
2021-11-20,Stefan KNAPP,Barbara FARFELEDER,11,7,2026-04-11 20:52:06.901229
2021-12-18,Stefan KNAPP,Gudrun BARTH,13,5,2026-04-11 20:52:06.901229
2022-01-01,Craig BARTH,Michaela MAYOR,7,6,2026-04-11 20:52:06.901229
2022-01-08,Nikodem MILEWSKI,Gudrun BARTH,11,6,2026-04-11 20:52:06.901229
2022-01-15,Robert JONES,Barbara FARFELEDER,14,4,2026-04-11 20:52:06.901229
2022-01-22,Hugo SMITH,Barbara FARFELEDER,7,4,2026-04-11 20:52:06.901229
2022-01-29,Stefan HASENKNOPF,Barbara FARFELEDER,15,6,2026-04-11 20:52:06.901229
2022-02-05,Henning KARPE-PANSER,Roisin MCNULTY,21,5,2026-04-11 20:52:06.901229
2022-02-12,Roland PETER,Barbara FARFELEDER,12,5,2026-04-11 20:52:06.901229
2022-02-19,Joseph CALNAN,Ulrike NUTZ,9,4,2026-04-11 20:52:06.901229
2022-02-26,Martin VAUPEL,Barbara FARFELEDER,14,4,2026-04-11 20:52:06.901229
2022-03-05,Emanuel PETER,Roisin MCNULTY,12,4,2026-04-11 20:52:06.901229
2022-03-12,Tobias PIEBER,Helen BERRY,16,6,2026-04-11 20:52:06.901229
2022-03-19,Adrian T MILES,Linda OHRTMANN,17,7,2026-04-11 20:52:06.901229
2022-03-26,Jerry FISHER,Barbara FARFELEDER,6,5,2026-04-11 20:52:06.901229
2022-04-02,Hugo SMITH,Maria LEONARD,5,5,2026-04-11 20:52:06.901229
2022-04-09,Tobias PIEBER,Suzannah GILFORD,12,4,2026-04-11 20:52:06.901229
2022-04-23,Jiří VAVRUŠA,Maria LEONARD,12,6,2026-04-11 20:52:06.901229
2022-04-30,Ian GIGGS,Dagmara STRYJAK,35,8,2026-04-11 20:52:06.901229
2022-05-07,Tobias PIEBER,Barbara FARFELEDER,11,6,2026-04-11 20:52:06.901229
2022-05-14,Tobias PIEBER,Deirdre MCGING,27,10,2026-04-11 20:52:06.901229
2022-05-21,Tobias PIEBER,Vikki THOMPSON,21,5,2026-04-11 20:52:06.901229
2022-05-28,Chris BRIAN,Charlotte THOMAS,12,4,2026-04-11 20:52:06.901229
2022-06-04,Richard BRIERLEY,Barbara FARFELEDER,19,5,2026-04-11 20:52:06.901229
2022-06-11,Luke WILTSHIRE,Silke HERRMANN,20,5,2026-04-11 20:52:06.901229
2022-06-18,Rupert PREHAUSER,Barbara FARFELEDER,12,3,2026-04-11 20:52:06.901229
2022-06-25,Thomas EHRNLEITNER,Louise CLIFTON,22,5,2026-04-11 20:52:06.901229
2022-07-02,Aidan SLACK,Clare LONERGAN,27,6,2026-04-11 20:52:06.901229
2022-07-09,Richard BRIERLEY,Barbara FARFELEDER,18,4,2026-04-11 20:52:06.901229
2022-07-16,Jim MOIR,Dagmara STRYJAK,23,4,2026-04-11 20:52:06.901229
2022-07-23,Leon CLEMENT,Gudrun BARTH,31,7,2026-04-11 20:52:06.901229
2022-07-30,Ewan WINZOR SAILE,Ebony MATHER,30,5,2026-04-11 20:52:06.901229
2022-08-06,Tobias PIEBER,Alison OGLE,20,6,2026-04-11 20:52:06.901229
2022-08-13,Tobias PIEBER,Dagmara STRYJAK,20,4,2026-04-11 20:52:06.901229
2022-08-20,David BOVILL,Heather BOVILL,23,5,2026-04-11 20:52:06.901229
2022-08-27,Guy ROBERTS,Veronika LEIKAM,24,6,2026-04-11 20:52:06.901229
2022-09-03,Tobias PIEBER,Aedin KENNEDY,16,8,2026-04-11 20:52:06.901229
2022-09-10,Tobias PIEBER,Sophie HARMSWORTH,17,5,2026-04-11 20:52:06.901229
2022-09-17,Andrew CAPEL,Magdalina PREHAUSER,7,4,2026-04-11 20:52:06.901229
2022-09-24,Simon JONES,Daniela DROSE,24,6,2026-04-11 20:52:06.901229
2022-10-01,Al CHAPMAN,Lindsey CLEGG,30,7,2026-04-11 20:52:06.901229
2022-10-08,Wilko SCHRÖTER,Melissa CARMODY,13,7,2026-04-11 20:52:06.901229
2022-10-15,Tobias PIEBER,Barbara FARFELEDER,14,5,2026-04-11 20:52:06.901229
2022-10-22,Alexander BODDY,Rachel MÜHLBAUER,14,5,2026-04-11 20:52:06.901229
2022-10-29,Oleh CHORNYI,Barbara FARFELEDER,10,4,2026-04-11 20:52:06.901229
2022-11-05,Ewan WINZOR SAILE,Joelle SCHULER,10,5,2026-04-11 20:52:06.901229
2022-11-12,Stian BRUBAKKEN,Barbara FARFELEDER,9,5,2026-04-11 20:52:06.901229
2022-11-19,Wilko SCHRÖTER,Kathryn AYRES,13,6,2026-04-11 20:52:06.901229
2022-11-26,Jonny SCOTT,Imogen OVENDEN,15,4,2026-04-11 20:52:06.901229
2022-12-03,Vincent VAN RHEDEN,Ella-Maria KORTELAHTI,15,4,2026-04-11 20:52:06.901229
2022-12-10,Thomas EHRNLEITNER,Barbara FARFELEDER,8,3,2026-04-11 20:52:06.901229
2022-12-17,Tobias PIEBER,Ella-Maria KORTELAHTI,7,5,2026-04-11 20:52:06.901229
2022-12-31,Tobias PIEBER,Stephanie MOORE,15,5,2026-04-11 20:52:06.901229
2023-01-07,Richard KEMBLETON,Georgina SCUTT,21,5,2026-04-11 20:52:06.901229
2023-01-14,Martin VAUPEL,Stephanie MOORE,12,5,2026-04-11 20:52:06.901229
2023-01-21,Tomasz DZIUBANY,Barbara FARFELEDER,6,3,2026-04-11 20:52:06.901229
2023-01-28,Tobias PIEBER,Barbara FARFELEDER,13,6,2026-04-11 20:52:06.901229
2023-02-04,Vincent VAN RHEDEN,Barbara FARFELEDER,7,3,2026-04-11 20:52:06.901229
2023-02-11,Tobias PIEBER,Genevieve HIRST,16,4,2026-04-11 20:52:06.901229
2023-02-18,Thomas EHRNLEITNER,Nastasia STEPANOVA,18,4,2026-04-11 20:52:06.901229
2023-02-25,Will PLATTS,Lucy PORTER,14,6,2026-04-11 20:52:06.901229
2023-03-04,James LYNE,Kym CORRIDAN,11,4,2026-04-11 20:52:06.901229
2023-03-11,Thomas RASCHKE,Karen HODKIN,14,4,2026-04-11 20:52:06.901229
2023-03-18,Vincent VAN RHEDEN,Cathrin MÖLLER,21,5,2026-04-11 20:52:06.901229
2023-03-25,Vincent VAN RHEDEN,Franky KELSEY,20,4,2026-04-11 20:52:06.901229
2023-04-01,Stephen MCALEER,Linda OHRTMANN,14,6,2026-04-11 20:52:06.901229
2023-04-08,Tobias PIEBER,Helen STUBBS,16,5,2026-04-11 20:52:06.901229
2023-04-15,Tobias PREHAUSER,Magdalina PREHAUSER,10,5,2026-04-11 20:52:06.901229
2023-04-22,Dmitrii SHAULSKII,Gail COLVILLE,26,4,2026-04-11 20:52:06.901229
2023-04-29,Dmitrii SHAULSKII,Lydia WILLGRESS,24,5,2026-04-11 20:52:06.901229
2023-05-06,Dmitrii SHAULSKII,Angelika BOCK,14,4,2026-04-11 20:52:06.901229
2023-05-13,Tobias PIEBER,Juliette WELLS GRAY,17,4,2026-04-11 20:52:06.901229
2023-05-20,Сергей МИХАЙЛЕНКО,Erika ORSAGOVA,59,11,2026-04-11 20:52:06.901229
