date,first_male,first_female,finishers,helpers,last_updated
2023-09-23,Andreas POTOCAR,Florine HIERSEMENZEL,51,11,2026-05-09 17:25:20.142991
2023-09-30,Lennart HÖGER,Tania PACHECO,34,8,2026-05-09 17:25:20.142991
2023-10-07,Julius OTT,Andrea STREIT,52,9,2026-05-09 17:25:20.142991
2023-11-11,Julius OTT,Hanna ALLERKAMP,43,10,2026-05-09 17:25:20.142991
2023-11-18,Sebastian BRAUMÜLLER,Xenia ZEINZINGER,40,9,2026-05-09 17:25:20.142991
2023-11-25,Julius OTT,Anna ERNST,38,12,2026-05-09 17:25:20.142991
2023-12-02,Julius OTT,Xenia ZEINZINGER,15,8,2026-05-09 17:25:20.142991
2023-12-09,Santiago LENA DE TERRY,Christa PROMMER,10,8,2026-05-09 17:25:20.142991
2023-12-16,Julius OTT,Xenia ZEINZINGER,17,7,2026-05-09 17:25:20.142991
2023-12-23,Sebastian BRAUMÜLLER,Johanna GFRERRER,11,8,2026-05-09 17:25:20.142991
2023-12-30,Laurence SLANN,Flora UNTERBERGER,25,6,2026-05-09 17:25:20.142991
2024-01-06,Laurence SLANN,Xenia ZEINZINGER,21,7,2026-05-09 17:25:20.142991
2024-01-13,Lennart HÖGER,Xenia ZEINZINGER,29,8,2026-05-09 17:25:20.142991
2024-01-20,Julius OTT,Julie SALME,19,8,2026-05-09 17:25:20.142991
2024-01-27,Helmut GREMMEL,Xenia ZEINZINGER,25,8,2026-05-09 17:25:20.142991
2024-02-03,Santiago LENA DE TERRY,Xenia ZEINZINGER,25,5,2026-05-09 17:25:20.142991
2024-02-10,Julius OTT,Xenia ZEINZINGER,36,7,2026-05-09 17:25:20.142991
2024-02-17,Andreas POTOCAR,Laura MAASIK,37,7,2026-05-09 17:25:20.142991
2024-02-24,Julius OTT,Xenia ZEINZINGER,28,7,2026-05-09 17:25:20.142991
2024-03-02,Markus HUBER,Tania PACHECO,30,7,2026-05-09 17:25:20.142991
2024-03-09,Santiago LENA DE TERRY,Xenia ZEINZINGER,25,6,2026-05-09 17:25:20.142991
2024-03-16,Julius OTT,Maggy OKUMU-HARTWIG,27,7,2026-05-09 17:25:20.142991
2024-03-23,Olly COOLEY,Maria KOTULAKOVA,34,7,2026-05-09 17:25:20.142991
2024-03-30,Santiago LENA DE TERRY,Xenia ZEINZINGER,33,6,2026-05-09 17:25:20.142991
2024-04-06,Denis KADIC,Florine HIERSEMENZEL,27,6,2026-05-09 17:25:20.142991
2024-04-13,Julius OTT,Xenia ZEINZINGER,51,6,2026-05-09 17:25:20.142991
2024-04-20,Andreas POTOCAR,Rosa BURKHARDT,42,7,2026-05-09 17:25:20.142991
2024-04-27,Nino KAPUN,Julia SANDHEIGL,42,6,2026-05-09 17:25:20.142991
2024-05-04,Louis SUGGETT,Patrycja TALAR,44,9,2026-05-09 17:25:20.142991
2024-05-11,Andreas POTOCAR,Anna ERNST,27,5,2026-05-09 17:25:20.142991
2024-05-25,Julius OTT,Xenia ZEINZINGER,42,8,2026-05-09 17:25:20.142991
2024-06-01,Olly COOLEY,Xenia ZEINZINGER,28,8,2026-05-09 17:25:20.142991
2024-06-08,Julius OTT,Hanna ALLERKAMP,32,8,2026-05-09 17:25:20.142991
2024-06-15,Helmut GREMMEL,Xenia ZEINZINGER,45,8,2026-05-09 17:25:20.142991
2024-06-22,Stefan ZITZ,Elisabeth LACHNER,31,8,2026-05-09 17:25:20.142991
2024-06-29,Stefan ZITZ,Saroj SPICKETT,36,7,2026-05-09 17:25:20.142991
2024-07-06,Julius OTT,Charlotte JENKINSON,41,9,2026-05-09 17:25:20.142991
2024-07-13,Stefan ZITZ,Xenia ZEINZINGER,29,11,2026-05-09 17:25:20.142991
2024-07-20,Stefan ZITZ,Xenia ZEINZINGER,26,9,2026-05-09 17:25:20.142991
2024-07-27,Julius OTT,Anna ERNST,35,7,2026-05-09 17:25:20.142991
2024-08-03,Christian HATZENBICHLER,Kristen MORSE,47,9,2026-05-09 17:25:20.142991
2024-08-10,Łukasz BŁACH,Meike SCHRADER,31,8,2026-05-09 17:25:20.142991
2024-08-17,Johannes RUMPLER,Viktoria GLAUNINGER,25,6,2026-05-09 17:25:20.142991
2024-08-24,Stefan ZITZ,Daniela DROSE,20,8,2026-05-09 17:25:20.142991
2024-08-31,Stefan ZITZ,Tanja KUNZ,17,9,2026-05-09 17:25:20.142991
2024-09-07,Andreas POTOCAR,Xenia ZEINZINGER,41,7,2026-05-09 17:25:20.142991
2024-09-14,Julius OTT,Xenia ZEINZINGER,20,8,2026-05-09 17:25:20.142991
2024-09-21,Stefan ZITZ,Antonia REERMANN,48,9,2026-05-09 17:25:20.142991
2024-09-28,Niklas HILLBRAND,Xenia ZEINZINGER,30,6,2026-05-09 17:25:20.142991
2024-10-05,Helmut GREMMEL,Florine HIERSEMENZEL,28,7,2026-05-09 17:25:20.142991
2024-10-12,Stefan ZITZ,Julia KEMETINGER,41,15,2026-05-09 17:25:20.142991
2024-10-19,Stefan ZITZ,Anita TORSVIK,33,7,2026-05-09 17:25:20.142991
