date,first_male,first_female,finishers,helpers,last_updated
2021-10-30,Simon BROOKS,Melissa BATESON,25,8,2026-05-03 11:09:21.636670
2021-11-06,Ben AMEY,Christine DIERICKX,29,8,2026-05-03 11:09:21.636670
2021-11-13,Simon BROOKS,Lucia LAUXMANN,38,11,2026-05-03 11:09:21.636670
2021-12-18,Filipe Daniel NEVES LINO,Melanie LIU,9,8,2026-05-03 11:09:21.636670
2021-12-25,Erik SIMKOVICS,Anna SIMKOVICS,16,4,2026-05-03 11:09:21.636670
2022-01-01,David MAYERHOFER,Hayley WRAGG,13,7,2026-05-03 11:09:21.636670
2022-01-08,Erik SIMKOVICS,Anna SIMKOVICS,26,8,2026-05-03 11:09:21.636670
2022-01-15,Matthias KATZENGRUBER,Anna SIMKOVICS,40,8,2026-05-03 11:09:21.636670
2022-01-22,Erik SIMKOVICS,Claudia MCKENNA,25,7,2026-05-03 11:09:21.636670
2022-01-29,Vincent MCKENNA,Anna SIMKOVICS,27,7,2026-05-03 11:09:21.636670
2022-02-05,Lukas GSTALTNER,Luzia LUDWIG,28,8,2026-05-03 11:09:21.636670
2022-02-12,Lukas GSTALTNER,Luzia LUDWIG,33,9,2026-05-03 11:09:21.636670
2022-02-19,James COTTRIALL,Martina POWELL,39,8,2026-05-03 11:09:21.636670
2022-02-26,Simon BROOKS,Clara MURNIG,29,5,2026-05-03 11:09:21.636670
2022-03-05,Kristoffer LINNA,Tania DOBNER,31,7,2026-05-03 11:09:21.636670
2022-03-12,Montgomery POWELL,Tania DOBNER,29,10,2026-05-03 11:09:21.636670
2022-03-19,Thamsanqa KHUMALO,Luzia LUDWIG,47,7,2026-05-03 11:09:21.636670
2022-03-26,Stefan LETTNER,Sophie GRABNER,37,11,2026-05-03 11:09:21.636670
2022-04-02,Matthias KATZENGRUBER,Barbara SCHMID,36,10,2026-05-03 11:09:21.636670
2022-04-09,Alec WRIGHT,Sophie GRABNER,28,9,2026-05-03 11:09:21.636670
2022-04-16,Andrew WALLACE,Sophie GRABNER,44,7,2026-05-03 11:09:21.636670
2022-04-23,Scott PARFITT,Kathryn STEVENSON,151,11,2026-05-03 11:09:21.636670
2022-04-30,Tim LUNNON,Anna MAYR,53,7,2026-05-03 11:09:21.636670
2022-05-07,Pawel LANGER,Anna SIMKOVICS,31,7,2026-05-03 11:09:21.636670
2022-05-14,Thomas SELLERS,Verena RADINGER-PEER,50,10,2026-05-03 11:09:21.636670
2022-05-21,Andreas MAIER,Ellie MCCOURT-CLARKE,42,9,2026-05-03 11:09:21.636670
2022-05-28,Antonio SANCHEZ BENITEZ,Tania DOBNER,62,7,2026-05-03 11:09:21.636670
2022-06-04,Moritz HOSNEDL,Rebecca ROSE,60,10,2026-05-03 11:09:21.636670
2022-06-11,François GUERLAIS,Elisa BURATTO,46,8,2026-05-03 11:09:21.636670
2022-06-18,Niklas KLINGER,Denise VAN ELK,66,9,2026-05-03 11:09:21.636670
2022-06-25,Louis SUGGETT,Alina KRALIK,33,4,2026-05-03 11:09:21.636670
2022-07-02,Vincent MCKENNA,Frankie PERREN SMART,35,9,2026-05-03 11:09:21.636670
2022-07-09,Ben BAYLY,Katie PEARCE,58,7,2026-05-03 11:09:21.636670
2022-07-16,Vincent MCKENNA,Anna SIMKOVICS,56,6,2026-05-03 11:09:21.636670
2022-07-23,Chris SMITH,Katherine HOLLAND,58,9,2026-05-03 11:09:21.636670
2022-07-30,Martin MISTELBAUER,Nneka OKONTA,42,8,2026-05-03 11:09:21.636670
2022-08-06,Neil HEY,Hanna KÖRBER,41,7,2026-05-03 11:09:21.636670
2022-08-13,James COTTRIALL,Sandra WEIR,73,6,2026-05-03 11:09:21.636670
2022-08-20,Richard WALDRON,Becky COLEMAN,70,9,2026-05-03 11:09:21.636670
2022-08-27,Andreas POTOCAR,Anne KESSELRING,89,12,2026-05-03 11:09:21.636670
2022-09-03,Joel HARRISON,Elspeth BRADSHAW,63,7,2026-05-03 11:09:21.636670
2022-09-10,Ali REZAI,Anita LENNEIS,58,8,2026-05-03 11:09:21.636670
2022-09-17,Davide ZANETTI,Anita LENNEIS,58,12,2026-05-03 11:09:21.636670
2022-09-24,Vincent MCKENNA,Claudia MCKENNA,65,9,2026-05-03 11:09:21.636670
2022-10-01,Vincent MCKENNA,Grace RYNNE,60,10,2026-05-03 11:09:21.636670
2022-10-08,Simon KOPPENSTEINER,Rebecca PETER,57,7,2026-05-03 11:09:21.636670
2022-10-15,Andrey KONDRATOV,Екатерина САВКИНА,77,9,2026-05-03 11:09:21.636670
2022-10-22,Tim POWELL,Gillian ALLEN,56,8,2026-05-03 11:09:21.636670
2022-10-29,David MCKINNON,Naomi KINGSTON,122,6,2026-05-03 11:09:21.636670
2022-11-05,Vitalijs BREJEVS,Liz KILLIP,86,11,2026-05-03 11:09:21.636670
2022-11-12,James HAMILTON,Sonja BREUSS,73,8,2026-05-03 11:09:21.636670
2022-11-19,Vitalijs BREJEVS,Hanna KÖRBER,56,9,2026-05-03 11:09:21.636670
2022-11-26,James DRAKEFORD,Joelle SCHULER,112,10,2026-05-03 11:09:21.636670
2022-12-03,Lukas BECHT,Sarah PALMER,63,7,2026-05-03 11:09:21.636670
2022-12-10,Christoph SANDER,Billie MEADOWCROFT,70,8,2026-05-03 11:09:21.636670
2022-12-24,Lukas MAX,Sonja BREUSS,56,8,2026-05-03 11:09:21.636670
2022-12-31,Inigo G,Anna SEELEY,51,11,2026-05-03 11:09:21.636670
2023-01-07,Vincent MCKENNA,Holly SAGE,61,9,2026-05-03 11:09:21.636670
2023-01-14,Michel NOUGUIER,Esther HUMMEL,69,8,2026-05-03 11:09:21.636670
